 Brand,Model,Ex-Showroom_Price(Rs.),Cylinders,Emission_Norm(BS),Fuel Capacity,Fuel_Type,Body_Type,ARAI Certified Mileage,Seating_Capacity,Type,Wheelbase,Boot_Space
 Rover Rover,Range,40499548,8,4,65,Petrol,SUV,10,5,Automatic,2922,909
Aston Martin,Db 11,40456503,12,4,80,Petrol,Coupe,11,2,Automatic,2600,300
Aston Martin,Rapide,38845823,12,4,90.5,Petrol,Sedan,12.9,4,Automatic,2989,300
Aston Martin,Vantage,29500000,8,4,73,Petrol,Coupe,8,2,Automatic,2704,420
Audi,Q5,5621200,6,4,70,Petrol,SUV,12.44,5,Automatic,2807,550
Audi,A5,6061200,4,4,45,Diesel,Sedan,19.2,5,Automatic,2807,54
Audi,A5 Cabriolet,6948200,4,4,58,Diesel,Convertible,17.2,4,Automatic,2807,480
Audi,Rs7,17072000,8,4,75,Petrol,Sedan Coupe,9.8,4,Automatic,2915,535
Audi,R8,27245000,10,4,75,Petrol,Coupe,6.71,2,Automatic,2650,420
Audi,Q3,4361000,4,4,64,Diesel,SUV,15.73,5,Automatic,2603,460
Audi,A6,5942200,4,6,73,Petrol,Sedan,14.11,5,Automatic,2912,560
Audi,Q7,8111500,6,4,75,Diesel,SUV,14.75,7,Automatic,2994,295
Audi,S5,7243000,6,4,58,Petrol,Sedan,13.57,5,Automatic,2811,420
Audi,Rs5,11141200,8,4,58,Petrol,Coupe,10.8,4,Automatic,2480,465
Audi,Q8,13359500,4,6,85,Petrol,SUV,11,7,Automatic,2994,605
Audi,A8 L,15600000,8,6,82,Petrol,Sedan,11,4,Automatic,3128,505
Audi,A4,4507000,4,4,54,Petrol,Sedan,17.9,5,DCT,2820,480
Audi,A3 Cabriolet,5038000,4,4,50,Petrol,Convertible,19.2,4,Automatic,2595,320
Audi,A3,3221200,4,4,50,Diesel,Sedan,20.38,5,Automatic,2637,425
Bajaj,Qute (Re60),283000,3,4,45,CNG,Hatchback,11,4,Manual,1925,20
Bentley,Continental Gt,33791059,12,4,90,Petrol,Coupe,8.6,4,Automatic,2746,358
Bentley,Bentayga,45941557,12,4,85,Petrol,SUV,19,5,Automatic,2992,430
Bentley,Mulsanne,52571294,8,4,90,Petrol,Sedan,9.5,4,Automatic,3266,443
Bentley,Flying Spur,39382083,12,4,90,Petrol,Sedan,4,4,Automatic,3066,475
Bmw,X1,4570000,4,4,51,Diesel,SUV Crossover,20.68,5,Automatic,2670,420
